filepath,label
numeric/9/9-19.png,9
numeric/9/9-20.png,9
numeric/9/9-21.png,9
numeric/9/9-22.png,9
numeric/9/9-23.png,9
numeric/9/9-24.png,9
numeric/9/9-25.png,9
numeric/9/9-26.png,9
numeric/9/9-27.png,9
numeric/9/9-28.png,9
numeric/9/9-29.png,9
numeric/9/9-30.png,9
numeric/9/9-31.png,9
numeric/9/9-32.png,9
numeric/9/9-33.png,9
